,edgeR_exact,edgeR_glm,edgeR_rob_pDF10,edgeR_rob_pDF05,edgeR_rob_pDF20,edgeR_rob_auto.pDF,edgeR_ql,DESeq,DESeq2_indFilterDeactive,DESeq2_indFilterDeactiveCooksOff,DESeq2_indFilterActive,LimmaQN,LimmaVoom,LimmaVoom_Robust,LimmaTrended,LimmaTrended_Robust,LimmaVoom_QW,LimmaVst,BaySeq,PoissonSeq,SAMSeq,QuasiSeq_QL,QuasiSeq_QLShrink,QuasiSeq_QLSpline,NOISeq,StR
1,13.47103873,13.47103858,13.43505154,13.42555209,13.44181978,13.40698693,13.47104032,Inf,12.98220941,12.98220941,12.98220941,10.40555088,11.50287278,11.50287278,8.84123247,8.84123247,11.45418322,5.540852582,12,Inf,36.98978999,11.03531137,11.03531137,11.03531137,11.48898294,28.84242023
2,-1.68915995,-1.688643495,-0.672067545,-0.742733005,-0.625992174,-0.899855662,-1.691916165,-Inf,-0.644988286,-0.644988286,-0.644988286,-0.195043702,-0.074997108,-0.074997108,-0.095445423,-0.095445423,-0.03701495,-0.188240141,-12,#NAME?,0,-2.435835978,-2.435835978,-2.435835978,-0.309668675,0.366957772
3,6.589145659,6.589684688,6.31413298,6.307480168,6.321133978,6.298953921,6.585055699,Inf,6.083055622,6.083055622,6.083055622,3.410911416,4.215667878,4.215667878,1.974287315,1.974287315,4.159927392,1.990020425,12,Inf,29.66629522,6.269204098,6.269204098,6.269204098,4.597820216,2.765880417
4,9.6844049,9.684354158,9.52955547,9.514603969,9.548113448,9.493997215,9.684237,Inf,9.19067661,9.19067661,9.19067661,6.512398308,7.445415828,7.445415828,4.826022134,4.826022134,7.486594898,3.124912946,12,Inf,33.02802959,8.440271139,8.440271139,8.440271139,7.697404232,6.332182686
5,0.522189443,0.528244075,0.057893843,0.057899138,0.057837334,0.057811184,0.526748728,Inf,0.364885632,0.364885632,0.364885632,0.051462406,0.339749796,0.339749796,0.024898174,0.024898174,0.331502739,0.058782058,12,Inf,NA,1.279377236,1.279377236,1.279377236,0.284587133,0.223606798
6,-10.46954654,-10.46955131,-10.45072616,-10.43846793,-10.46033045,-10.4255314,-10.46957062,-Inf,-9.770605345,-9.770605345,-9.770605345,-7.088061304,-8.050111536,-8.050111536,-5.668180985,-5.668180985,-8.122066638,-3.509179901,-12,#NAME?,#NAME?,-8.808489247,-8.808489247,-8.808489247,-8.31203415,7.779971368
7,-9.883834978,-9.883763098,-9.857074015,-9.850649265,-9.863436566,-9.838897292,-9.883561509,-Inf,-9.194398193,-9.194398193,-9.194398193,-6.509896761,-7.545447332,-7.545447332,-5.161478646,-5.161478646,-7.636655054,-3.264513979,-12,#NAME?,#NAME?,-8.39962768,-8.39962768,-8.39962768,-7.742550404,8.630220952
8,-14.03369387,-14.03369426,-13.99816922,-13.99722816,-13.9991324,-13.99573242,-14.03368949,-Inf,-13.33881988,-13.33881988,-13.33881988,-10.87359259,-11.7622467,-11.7622467,-9.352262904,-9.352262904,-11.73506379,-5.997507339,-12,#NAME?,#NAME?,-11.26018814,-11.26018814,-11.26018814,-11.88986338,19.63685499
9,-2.79812039,-2.798295968,-2.798286704,-2.798287282,-2.798295574,-2.798286566,-2.794715585,-Inf,-1.875135765,-1.875135765,-1.875135765,-0.748125,-1.013357482,-1.013357482,-0.309672652,-0.309672652,-1.083101293,-0.848893832,-12,#NAME?,#NAME?,-3.357614904,-3.357614904,-3.357614904,-0.617050017,1.87035081
10,3.271098573,3.271527416,3.270161206,3.270151193,3.270104489,3.270163574,3.300272766,Inf,2.650406833,2.650406833,2.650406833,1.030569555,1.855830023,1.855830023,0.461349146,0.461349146,1.870123518,1.137124509,12,Inf,26.79219383,3.924214996,3.924214996,3.924214996,1.210336217,5.444535617
11,-13.29822582,-13.29821768,-13.28539428,-13.2874216,-13.28367316,-13.28989164,-13.29827736,-Inf,-12.6065144,-12.6065144,-12.6065144,-10.17628754,-11.03790257,-11.03790257,-8.638469088,-8.638469088,-11.03189075,-5.39234581,-12,#NAME?,#NAME?,-10.75921268,-10.75921268,-10.75921268,-11.15382055,20.20461602
12,-12.08127349,-12.0812683,-12.07806589,-12.07254057,-12.08126405,-12.05803662,-12.08131941,-Inf,-11.38508906,-11.38508906,-11.38508906,-8.983407638,-9.854558822,-9.854558822,-7.451221086,-7.451221086,-9.892826993,-4.504548952,-12,#NAME?,#NAME?,-9.912041138,-9.912041138,-9.912041138,-9.934993036,22.84930198
