,edgeR_exact,edgeR_glm,edgeR_rob_pDF10,edgeR_rob_pDF05,edgeR_rob_pDF20,edgeR_rob_auto.pDF,edgeR_ql,DESeq,DESeq2_indFilterDeactive,DESeq2_indFilterDeactiveCooksOff,DESeq2_indFilterActive,LimmaQN,LimmaVoom,LimmaVoom_Robust,LimmaTrended,LimmaTrended_Robust,LimmaVoom_QW,LimmaVst,BaySeq,PoissonSeq,SAMSeq,QuasiSeq_QL,QuasiSeq_QLShrink,QuasiSeq_QLSpline,NOISeq,StR
1,2.33E-300,2.71707943470873e-318,0,0,0,0,2.74E-25,1.92E-85,2.91E-165,2.91E-165,2.91E-165,2.09E-54,1.10E-51,1.29E-51,1.23E-46,1.61E-47,6.62E-52,7.05E-46,0,0,0,7.61E-46,8.46E-47,8.67E-47,0,28.84242023
2,0.054175597,0.012762357,0.183547154,0.167629992,0.197015004,0.140198927,0.009901452,0.38940363,0.827311391,0.827311391,0.827311391,0.104903163,0.707413496,0.707848012,0.125737064,0.124236976,0.840823194,0.085972549,0.049186281,0.024274611,0.38621,0.000524324,0.000474923,0.000460159,0.771720567,0.366957772
3,7.63E-23,1.83E-25,1.30E-26,3.92E-27,6.31E-26,7.05E-28,9.85E-11,5.92E-14,2.08E-22,2.08E-22,2.08E-22,2.16E-16,4.33E-21,4.67E-21,7.32E-12,1.00E-11,4.95E-21,6.73E-24,7.50E-14,5.01E-05,0,4.98E-18,9.61E-19,2.11E-18,0,2.765880417
4,2.92E-55,5.86E-53,2.45E-63,3.35E-68,1.53E-58,9.15E-76,5.16E-15,5.60E-37,2.86E-61,2.86E-61,2.86E-61,1.37E-28,6.06E-33,6.58E-33,8.48E-24,6.76E-24,6.73E-32,3.79E-31,0,0,0,1.64E-26,3.61E-27,3.67E-27,8.22E-15,6.332182686
5,NA,0.217334209,0.709739888,0.709753637,0.709770072,0.709815584,0.21448157,NA,0.901779745,0.901779745,0.901779745,0.409994687,0.016339087,0.016669501,0.379842904,0.369930138,0.0118511,0.375113728,0.271106872,0.231132988,NA,0.002609751,0.00460113,0.002333902,0.679095861,0.223606798
6,7.84E-71,3.21E-68,1.94E-80,1.07E-85,4.10E-75,3.71E-95,1.51E-16,1.21E-53,1.00E-74,1.00E-74,1.00E-74,4.95E-32,4.00E-34,4.43E-34,2.86E-27,1.39E-27,1.52E-36,6.85E-33,0,0,0,5.27E-29,9.99E-30,9.90E-30,1.11E-15,7.779971368
7,6.37E-69,1.54E-63,1.74E-78,1.51E-88,1.96E-69,4.20E-107,3.93E-17,3.97E-48,2.06E-70,2.06E-70,2.06E-70,6.79E-33,1.71E-35,1.90E-35,9.04E-29,4.45E-29,2.20E-36,2.90E-35,0,0,0,1.73E-31,1.75E-31,1.16E-31,2.22E-16,8.630220952
8,1.10E-273,6.04E-283,0,0,0,0,1.29E-22,3.46E-87,1.26E-162,1.26E-162,1.26E-162,4.78E-47,8.90E-45,1.04E-44,4.01E-43,1.68E-43,2.79E-46,3.06E-40,0,0,0,5.82E-38,4.98E-40,1.96E-40,5.55E-16,19.63685499
9,6.66E-05,8.58E-06,8.61E-06,8.61E-06,8.58E-06,8.61E-06,8.23E-06,0.048556028,0.011409588,0.011409588,0.011409588,5.17E-10,1.68E-07,1.79E-07,1.51E-09,1.36E-09,6.41E-09,1.45E-10,0.000228249,0.002331606,0.00352,1.39E-13,6.97E-13,5.52E-13,0.345024441,1.87035081
10,1.08E-06,3.34E-08,2.99E-08,2.99E-08,2.98E-08,2.99E-08,2.83E-08,0.007358026,5.16E-05,5.16E-05,5.16E-05,5.35E-27,1.31E-19,1.66E-19,5.05E-20,6.00E-20,1.36E-20,1.14E-28,5.43E-07,0.001020725,0,1.32E-30,5.91E-24,5.02E-23,0.190698542,5.444535617
